token_spacy,lemma,pos
Atlilète,Atlilète,PROPN
AthlHe,AthlHe,PROPN
Dieu,Dieu,PROPN
défilé,défilé,NOUN
supplice,supplice,NOUN
Temps,temps,NOUN
Sculpteur,sculpteur,NOUN
Salyres,Salyres,PROPN
Piété,piéter,VERB
Paix,Paix,PROPN
Nuit,nuit,NOUN
Laboureur,Laboureur,PROPN
Judée,Judée,PROPN
Jeune,jeune,ADJ
Océan,Océan,PROPN
Hygie,Hygie,PROPN
Cerbère,Cerbère,PROPN
Ancée,ancée,NOUN
Calpurnie,Calpurnie,PROPN
initié,initier,VERB
Némésis,Némésis,PROPN
Cinq,Cinq,NUM
Géant,Géant,PROPN
Dioscures,Dioscures,PROPN
fable,fabl,ADJ
aurore,aurore,X
Temple,Temple,PROPN
Socrate,Socrate,PROPN
Palémon,Palémon,PROPN
Icarius,Icarius,PROPN
Gordien,gordien,ADJ
Triomphede,Triomphede,PROPN
fêtes,fête,NOUN
l',le,DET
initiation,initiation,NOUN
banquets,banquet,NOUN
Amicitia,Amicitia,PROPN
Aikibiades,Aikibiades,PROPN
personnifications,personnification,NOUN
Gauloises,Gauloises,PROPN
Cavaliers,cavalier,NOUN
Proklès,Proklès,PROPN
Sosandra,Sosandra,PROPN
banquet,banquet,NOUN
la,le,DET
Têle,Têle,X
Tibère,Tibère,PROPN
Satyreet,Satyreet,PROPN
Psychés,psyché,NOUN
Paysan,Paysan,PROPN
Panisque,Panisque,PROPN
Marc,Marc,PROPN
Macrin,Macrin,PROPN
Io,io,PRON
Halirrhotius,Halirrhotius,PROPN
Hadrien,Hadrien,PROPN
Empereur,Empereur,PROPN
vieil,vieux,ADJ
Galate,Galate,PROPN
Argus,Argus,PROPN
Antonin,Antonin,PROPN
Animal,Animal,PROPN
Tanaquil,Tanaquil,PROPN
Véniis,Véniis,PROPN
Hercule,Hercule,PROPN
Bacchus,Bacchus,PROPN
Apollon,Apollon,PROPN
jeune,jeune,ADJ
homme,homme,NOUN
Amour,Amour,PROPN
Jupiter,Jupiter,PROPN
Vénus,Vénus,PROPN
deux,deux,NUM
Mercure,Mercure,PROPN
Minerve,Minerve,PROPN
un,un,DET
combat,combat,NOUN
Achille,Achille,PROPN
Bacchante,Bacchante,PROPN
Combat,combat,NOUN
roi,roi,NOUN
enfant,enfant,NOUN
Thésée,Thésée,PROPN
Aphrodite,Aphrodite,PROPN
Victoire,Victoire,PROPN
Éros,Éros,PROPN
des,de,ADP
Alexandre,Alexandre,PROPN
Athéna,Athéna,PROPN
Ulysse,Ulysse,PROPN
Danse,danse,NOUN
Gaulois,Gaulois,PROPN
Héraclès,Héraclès,PROPN
Satyre,Satyre,PROPN
Prométhée,Prométhée,PROPN
femme,femme,NOUN
atelier,atelier,NOUN
scènes,scène,NOUN
Déméter,déméter,VERB
Neptune,neptune,NOUN
le,le,DET
prêtre,prêtre,NOUN
bataille,bataille,NOUN
Dioscures,dioscures,PRON
éphèbe,éphèbe,PROPN
combats,combat,NOUN
Héra,Héra,PROPN
la,le,DET
Pan,Pan,PROPN
héros,héros,NOUN
Ménélas,Ménélas,PROPN
vieille,vieux,ADJ
Hermès,Hermès,PROPN
Psyché,Psyché,PROPN
personnages,personnage,NOUN
dispute,dispute,VERB
portraits,portrait,NOUN
Pygmées,Pygmées,PROPN
lutte,lutte,NOUN
scène,scène,NOUN
Pélée,pélé,ADJ
mère,mère,NOUN
sacrifice,sacrifice,NOUN
cadavre,cadavre,NOUN
Mars,mars,NOUN
Iréné,Iréné,PROPN
Triptolème,triptolèm,ADJ
capitaine,capitaine,NOUN
coureur,coureur,NOUN
Cérès,Cérès,PROPN
Ouvriers,ouvrier,NOUN
Diane,Diane,PROPN
Jason,Jason,PROPN
Silène,Silène,PROPN
Thétis,Thétis,PROPN
Deux,Deux,NUM
guerrier,guerrier,NOUN
athlète,athlèt,ADJ
éducation,éducation,NOUN
Junon,Junon,PROPN
quadriges,quadrige,NOUN
vainqueur,vainqueur,NOUN
poète,poète,ADJ
Vulcain,vulcain,NOUN
jeunes,jeune,ADJ
Sérapis,Sérapis,PROPN
Spartiates,spartiate,NOUN
mulet,mulet,NOUN
Bacchantes,Bacchantes,PROPN
Génie,Génie,PROPN
Cavalier,Cavalier,PROPN
femmes,femme,NOUN
Éthra,Éthra,PROPN
Libation,Libation,PROPN
vieillard,vieillard,NOUN
sujet,sujet,NOUN
joueur,joueur,NOUN
Néoptolème,Néoptolème,PROPN
esclave,esclave,NOUN
Zéthus,Zéthus,PROPN
Méléagre,Méléagre,PROPN
empruntées,emprunter,VERB
Bain,Bain,PROPN
Alcmène,Alcmène,PROPN
Archémoros,Archémoros,PROPN
Borée,boré,ADJ
Archers,Archers,PROPN
danse,danse,NOUN
Animaux,animal,NOUN
Aethra,Aethra,PROPN
Cadmos,Cadmos,PROPN
Andromaque,Andromaque,PROPN
Banquet,Banquet,PROPN
Alexibius,Alexibius,PROPN
épisodes,épisode,NOUN
Anapanomenos,Anapanomenos,PROPN
Zens,Zens,PROPN
Yieillard,yieillard,NOUN
Penthésilée,Penthésilée,PROPN
Générai,Générai,PROPN
Grèce,grèce,NOUN
Atlas,Atlas,PROPN
Aristrate,Aristrate,PROPN
Ajax,Ajax,PROPN
réception,réception,NOUN
Cavaliers,cavalier,NOUN
taureau,taureau,NOUN
sabotier,sabotier,NOUN
peaussier,peaussier,PROPN
marchand,marchand,NOUN
foulon,foulon,PROPN
forgeron,forgeron,ADV
Zeus,Zeus,PROPN
petit,petit,ADJ
poissons,poisson,NOUN
Antigène,antigène,NOUN
reconnaissance,reconnaissance,NOUN
groupe,groupe,NOUN
filles,fille,NOUN
cortège,cortège,NOUN
Sappho,Sappho,PROPN
Héos,Héos,PROPN
potier,potier,NOUN
ouvriers,ouvrier,NOUN
Chasse,Chasse,PROPN
éléphants,éléphant,NOUN
vingt,vingt,NUM
fille,fille,NOUN
UippoUjte,UippoUjte,PROPN
Hélène,Hélène,PROPN
Artcmis,Artcmis,PROPN
Calydon,Calydon,PROPN
Pelée,peler,ADJ
Cottabe,Cottabe,PROPN
APOLLON,APOLLON,PROPN
DANSEURS,DANSEURS,PROPN
Cérémonies,cérémonie,NOUN
CONDUITE,CONDUITE,PROPN
CAILLES,caille,NOUN
BOUTIQUE,BOUTIQUE,PROPN
BACCHUS,BACCHUS,PROPN
ARIANE,ariane,NOUN
singe,singe,NOUN
Eschyle,Eschyle,PROPN
Tête,Tête,PROPN
Saturne,Saturne,PROPN
Caelestis,Caelestis,PROPN
Actéon,Actéon,PROPN
fable,fabl,ADJ
Térée,térer,VERB
Télété,Télété,PROPN
DIVERTISSEMENTS,DIVERTISSEMENTS,X
GAZELLES,GAZELLES,PROPN
Dionysiaques,Dionysiaques,PROPN
SEPT,SEPT,PROPN
Artémis,Artémis,PROPN
Pantheuchyde,Pantheuchyde,PROPN
Atalante,atalant,ADJ
sujets,sujet,NOUN
guerriers,guerrier,NOUN
VUES,vue,NOUN
THÉTIS,THÉTIS,PROPN
Persée,persée,NOUN
HERCULE,HERCULE,PROPN
PAON,PAON,PROPN
MERCURE,MERCURE,PROPN
MELpOMÈNE,MELpOMÈNE,PROPN
MARCHÉ,marché,NOUN
MAITRE,maitre,NOUN
JUPITER,JUPITER,PROPN
HYLAS,HYLAS,PROPN
Paix,Paix,PROPN
Cécrops,Cécrops,PROPN
mêlée,mêler,ADJ
Khrysos,Khrysos,PROPN
Offrandes,Offrandes,PROPN
Niobides,Niobides,PROPN
Myrtilos,Myrtilos,PROPN
Mort,mort,NOUN
Minotaure,Minotaure,PROPN
Minos,Minos,PROPN
Mariage,mariage,NOUN
Hypnos,hypno,NOUN
Dionysos,Dionysos,PROPN
Hadés,Hadés,PROPN
Gynécée,Gynécée,PROPN
Gymnase,gymnase,NOUN
Exposition,exposition,NOUN
Europe,Europe,PROPN
Enfers,enfer,NOUN
Dédale,dédale,NOUN
Pandore,Pandore,PROPN
Foulon,Foulon,PROPN
Pettie,Pettie,PROPN
Polyphème,polyphèm,ADJ
hospitalité,hospitalité,NOUN
dieux,dieu,NOUN
Anaïtis,Anaïtis,PROPN
transport,transport,NOUN
père,père,NOUN
divinités,divinité,NOUN
cratère,cratère,NOUN
course,course,NOUN
buste,buste,NOUN
aventures,aventure,NOUN
attelage,attelage,NOUN
amant,amant,NOUN
Tritons,Tritons,PROPN
Toilette,Toilette,PROPN
Priamides,Priamides,PROPN
fabricant,fabricant,NOUN
Guerrier,Guerrier,PROPN
Epona,Epona,PROPN
aventure,aventure,NOUN
comédiens,comédien,NOUN
combattant,combattre,VERB
chasseurs,chasseur,PROPN
charlatan,charlatan,NOUN
boutiques,boutique,NOUN
bambochade,bambochade,PROPN
Sémiramis,Sémiramis,PROPN
famille,famill,ADJ
Pénélope,Pénélope,PROPN
Némée,némée,NOUN
Mère,Mère,PROPN
Léontium,Léontium,PROPN
Leontion,Leontion,PROPN
Lecythion,Lecythion,PROPN
corde,corde,NOUN
figure,figurer,VERB
Guerre,guerre,NOUN
provisions,provision,NOUN
Énée,Énée,PROPN
vieux,vieux,ADJ
victoire,victoire,NOUN
tragédien,tragédien,NOUN
suppliant,supplier,VERB
reine,reine,NOUN
peuple,peuple,NOUN
hommes,homme,NOUN
personnage,personnage,NOUN
palefrenier,palefrenier,NOUN
nourrice,nourrice,NOUN
meurtre,meurtre,NOUN
maisons,maison,NOUN
l',le,DET
Amitié,Amitié,PROPN
Hippolyte,Hippolyte,PROPN
Clitus,Clitus,PROPN
Boutique,Boutique,PROPN
Démarate,Démarate,PROPN
Latone,Latone,PROPN
épisode,épisode,NOUN
adolescent,adolescent,NOUN
officiers,officier,NOUN
Papirius,Papirius,PROPN
personnification,personnification,NOUN
quatorze,quatorze,NUM
bel,bel,ADJ
orateur,orateur,NOUN
lionne,lionn,ADJ
d',de,ADP
homme,homme,NOUN
Sparte,Sparte,PROPN
Latonne,Latonne,PROPN
Fortune,fortune,NOUN
Philippe,Philippe,PROPN
biges,biges,PROPN
Arrhelaüs,Arrhelaüs,PROPN
quadrige,quadrige,NOUN
Aratus,Aratus,PROPN
Antigone,Antigone,PROPN
Ancée,Ancée,PROPN
Agatharchus,Agatharchus,PROPN
une,un,DET
sa,son,DET
matrones,matrone,NOUN
cavalcade,cavalcade,NOUN
matrone,matrone,NOUN
l',le,DET
homme,homme,NOUN
joueuse,joueur,ADJ
enfants,enfant,NOUN
de,de,ADP
courtisane,courtisan,ADJ
Agamemnon,Agamemnon,PROPN
Nestor,Nestor,X
Nymphes,nymphe,NOUN
Rhésus,Rhésus,PROPN
berger,berger,NOUN
Romulus,Romulus,PROPN
Diogène,Diogène,PROPN
histoire,histoire,NOUN
Tyché,Tyché,PROPN
Terre,Terre,PROPN
Quadrige,Quadrige,PROPN
Soldat,soldat,NOUN
Joueur,joueur,NOUN
Jardins,Jardins,PROPN
Héros,héros,NOUN
Héraclides,Héraclides,PROPN
Enfant,Enfant,PROPN
Adonis,Adonis,PROPN
Marc,Marc,PROPN
Némésis,Némésis,PROPN
Héraklès,Héraklès,PROPN
Barque,Barque,PROPN
l',le,DET
Amour,amour,NOUN
bélier,bélier,NOUN
Sculpteur,sculpteur,NOUN
Prince,Prince,PROPN
Olympos,Olympos,PROPN
Isis,Isis,PROPN
grandes,grand,ADJ
Serpent,Serpent,PROPN
Tragédie,tragédie,NOUN
Deucalion,Deucalion,PROPN
Cybèle,Cybèle,X
Caracalla,Caracalla,PROPN
Éléphant,Éléphant,PROPN
Un,un,DET
Alhéna,Alhéna,PROPN
symbole,symbole,NOUN
Salyre,Salyre,PROPN
Cyrène,Cyrène,PROPN
satyre,satyre,NOUN
retour,retour,NOUN
lion,lion,NOUN
griffon,griffon,PROPN
cheval,cheval,NOUN
OEnochoé,OEnochoé,PROPN
colombe,colombe,PROPN
Priam,Priam,PROPN
char,char,NOUN
Nil,Nil,PROPN
supplice,supplice,NOUN
Amazones,Amazones,PROPN
préparatifs,préparatif,ADJ
Marsyas,Marsyas,PROPN
tête,tête,NOUN
Acamas,Acamas,PROPN
Démophon,Démophon,PROPN
Her,Her,X
Télémaque,Télémaque,PROPN
fleuve,fleuve,PROPN
Centaure,centaure,VERB
Sapho,sapho,NOUN
Trois,Trois,NUM
acteur,acteur,NOUN
naissance,naissance,NOUN
représentation,représentation,NOUN
Bonus,bonus,NOUN
Castor,Castor,PROPN
Céphale,Céphale,PROPN
Femme,Femme,PROPN
Iole,Iole,PROPN
Enlèvement,enlèvement,NOUN
